frame;x;y
1;730.8;693.0
2;730.5;694.0
3;731.5;695.3
4;731.6;694.6
5;732.0;695.1
6;729.8;692.5
7;729.5;691.7
8;730.6;689.8
9;730.7;689.7
10;729.0;687.1
11;726.9;684.6
12;727.8;680.7
13;728.8;681.8
14;729.8;681.3
15;729.2;681.6
16;728.8;681.4
17;729.6;679.7
18;729.4;679.4
19;728.1;678.7
20;726.3;681.5
21;725.8;680.9
22;726.0;679.4
23;725.4;681.5
24;726.7;684.0
25;725.3;685.2
26;723.3;682.9
27;721.4;684.9
28;722.7;686.7
29;723.0;688.1
30;721.5;687.1
31;720.6;684.0
32;718.4;684.2
33;716.4;683.2
34;718.6;682.9
35;716.9;682.1
36;716.8;680.7
37;716.5;683.0
38;716.2;683.2
39;716.9;682.8
40;716.3;682.8
41;716.4;681.8
42;718.7;683.4
43;719.7;688.0
44;718.0;687.1
45;720.8;686.9
46;722.3;685.5
47;721.6;688.0
48;720.0;689.2
49;717.5;685.8
50;719.2;686.3
51;721.1;687.1
52;722.3;687.9
53;723.1;689.9
54;722.2;687.8
55;721.9;686.9
56;719.8;687.9
57;716.5;690.0
58;716.1;692.9
59;714.4;694.1
60;712.1;692.4
61;711.7;692.8
62;713.7;693.9
63;714.1;694.7
64;713.3;692.4
65;713.8;691.8
66;716.3;695.0
67;717.1;696.0
68;715.1;698.1
69;713.0;697.3
70;714.1;695.4
71;712.1;696.9
72;710.9;695.7
73;710.0;695.7
74;709.0;695.5
75;710.4;696.0
76;711.2;696.0
77;708.1;694.2
78;707.1;695.8
79;703.7;699.1
80;699.9;701.4
81;699.4;703.9
82;699.8;705.7
83;700.2;705.3
84;701.8;705.0
85;703.2;704.1
86;703.3;703.1
87;705.8;702.1
88;706.1;702.7
89;707.1;700.2
90;707.1;698.7
91;699.5;703.7
92;701.6;705.2
93;702.0;705.3
94;702.9;704.5
95;704.3;702.4
96;706.0;704.2
97;705.6;702.6
98;708.2;703.6
99;706.8;705.9
100;706.3;705.6
101;705.1;707.5
102;706.0;706.8
103;705.0;710.4
104;705.2;712.8
105;704.3;712.2
106;703.4;709.8
107;703.7;710.8
108;704.0;709.4
109;701.2;706.7
110;700.9;707.3
111;701.4;707.3
112;702.8;707.4
113;705.6;707.4
114;706.3;707.0
115;708.5;706.9
116;709.3;707.8
117;710.5;707.6
118;711.9;704.9
119;712.1;703.0
120;713.5;701.6
121;714.2;700.4
122;714.6;699.8
123;713.0;699.1
124;711.0;700.2
125;710.2;699.7
126;710.5;700.8
127;710.2;701.7
128;710.9;701.1
129;712.5;699.3
130;713.5;699.6
131;714.6;699.9
132;712.7;700.3
133;710.5;703.0
134;712.0;702.7
135;715.4;702.7
136;716.7;705.1
137;714.5;704.8
138;711.3;704.5
139;710.3;705.0
140;710.4;704.0
141;711.4;704.1
142;710.0;705.2
143;709.2;706.3
144;708.9;708.3
145;707.8;706.9
146;707.2;706.5
147;707.7;708.2
148;709.4;709.2
149;709.9;712.1
150;708.5;711.6
151;707.2;708.3
152;706.3;704.4
153;708.8;704.5
154;707.5;705.0
155;706.8;705.4
156;703.5;707.3
157;701.3;707.1
158;702.0;707.4
159;702.1;707.3
160;702.8;704.4
161;704.3;704.9
162;704.5;704.3
163;702.5;704.8
164;701.3;705.3
165;702.5;705.5
166;705.4;704.2
167;707.0;703.4
168;707.2;701.6
169;707.9;701.6
170;707.3;700.6
171;706.5;701.4
172;704.6;699.9
173;705.9;701.0
174;708.2;702.3
175;709.1;702.5
176;711.4;700.5
177;711.3;699.3
178;709.8;700.0
179;709.6;701.2
180;709.8;701.7
181;706.2;704.4
182;701.9;701.8
183;701.4;700.0
184;701.9;698.5
185;704.6;700.6
186;703.3;700.9
187;703.6;701.1
188;705.2;702.2
189;706.7;703.0
190;705.9;705.3
191;708.1;705.4
192;709.8;705.0
193;708.3;707.0
194;707.6;708.9
195;707.3;709.1
196;707.9;710.3
197;708.4;710.6
198;706.2;710.3
199;704.5;714.5
200;701.0;714.9
201;699.0;713.7
202;700.5;715.1
203;701.7;714.6
204;702.1;715.2
205;702.0;715.5
206;702.7;716.9
207;703.0;717.7
208;700.6;716.6
209;701.0;715.9
210;701.0;714.2
211;701.0;712.2
212;699.0;712.6
213;696.2;710.6
214;695.9;710.0
215;694.2;713.0
216;695.8;714.1
217;695.9;713.6
218;697.1;711.7
219;698.2;712.9
220;696.5;718.2
221;698.7;717.9
222;698.3;718.2
223;698.5;720.4
224;699.9;721.6
225;697.9;720.9
226;698.0;723.3
227;698.7;720.4
228;697.9;718.8
229;697.7;715.3
230;698.3;713.9
231;697.7;714.3
232;696.9;713.1
233;696.3;711.5
234;693.8;712.2
235;692.2;712.7
236;691.6;712.0
237;690.9;714.0
238;689.0;714.1
239;688.7;713.4
240;689.8;713.8
241;690.5;712.8
242;692.1;712.8
243;692.5;711.3
244;693.4;711.5
245;692.3;714.5
246;692.0;712.3
247;691.2;712.5
248;691.7;713.0
249;691.7;714.4
250;692.5;714.0
251;692.7;713.8
252;693.8;712.8
253;693.2;713.9
254;692.3;711.6
255;691.6;709.3
256;689.8;706.6
257;688.0;706.5
258;688.3;708.6
259;687.7;709.3
260;687.1;711.7
261;689.0;711.1
262;689.5;711.4
263;691.8;707.8
264;691.2;706.6
265;690.8;706.1
266;689.8;706.0
267;688.4;706.7
268;690.0;708.0
269;688.5;709.6
270;688.8;709.5
271;689.3;710.4
272;687.9;711.4
273;688.4;711.7
274;689.6;711.5
275;689.8;714.2
276;687.6;716.0
277;687.6;716.8
278;688.3;718.3
279;687.2;718.0
280;686.9;717.6
281;689.2;718.5
282;687.2;719.1
283;685.7;718.5
284;685.8;719.9
285;684.4;720.0
286;685.2;720.4
287;684.6;720.8
288;683.0;721.3
289;682.8;719.9
290;681.2;720.5
291;680.3;723.2
292;678.2;723.8
293;678.1;722.4
294;679.2;721.1
295;679.4;718.1
296;679.7;717.4
297;679.9;718.5
298;681.4;718.3
299;681.6;715.7
300;682.0;714.9
301;682.8;713.6
302;681.4;714.1
303;681.3;713.7
304;681.7;714.1
305;682.1;714.5
306;682.1;715.7
307;681.9;716.3
308;682.4;716.2
309;682.5;716.1
310;682.7;716.6
311;684.9;715.6
312;685.4;714.8
313;686.6;715.4
314;686.5;716.6
315;684.7;717.8
316;683.3;717.2
317;685.0;716.9
318;685.1;713.9
319;682.6;714.6
320;681.8;716.8
321;680.0;717.3
322;680.2;719.1
323;679.2;719.5
324;679.2;720.3
325;679.6;720.1
326;679.9;718.7
327;681.2;717.9
328;682.4;716.3
329;682.5;713.8
330;682.8;713.0
331;683.2;711.6
332;684.7;708.8
333;684.9;706.2
334;686.3;704.5
335;687.4;704.4
336;688.7;704.5
337;689.5;705.3
338;689.8;706.7
339;690.1;708.2
340;689.7;708.7
341;687.2;707.7
342;684.8;706.2
343;684.6;706.3
344;683.1;707.4
345;680.0;706.4
346;676.6;706.1
347;676.2;705.6
348;677.6;706.5
349;677.8;707.3
350;678.2;705.3
351;677.8;706.6
352;677.5;706.4
353;675.8;706.1
354;675.1;707.5
355;674.9;705.8
356;674.7;703.1
357;675.3;703.0
358;674.7;701.1
359;676.4;700.0
360;674.6;697.9
361;675.9;697.9
362;674.4;697.7
363;673.7;696.1
364;674.5;696.0
365;675.1;695.4
366;673.8;696.8
367;672.1;696.4
368;673.6;695.5
369;674.2;694.9
370;673.4;695.5
371;674.1;695.6
372;672.7;697.2
373;671.7;696.1
374;673.3;696.2
375;675.3;696.1
376;675.2;696.0
377;673.8;695.2
378;674.4;696.7
379;675.6;697.0
380;674.0;699.1
381;673.7;699.8
382;674.9;697.8
383;675.8;697.9
384;677.3;698.1
385;677.9;699.0
386;678.6;697.3
387;679.5;696.9
388;680.0;697.4
389;679.6;699.2
390;680.6;697.8
391;681.0;696.5
392;681.0;697.4
393;680.7;698.3
394;679.6;701.3
395;678.6;702.6
396;678.0;701.6
397;676.3;701.0
398;677.9;700.2
399;677.7;700.0
400;680.8;700.0
401;679.1;700.9
402;677.4;699.6
403;676.1;700.5
404;677.3;700.7
405;679.4;701.8
406;678.6;704.2
407;678.0;705.4
408;677.2;707.3
409;677.5;707.3
410;675.4;706.0
411;676.5;705.3
412;677.4;705.0
413;678.4;706.8
414;676.6;706.6
415;679.9;705.6
416;681.0;705.4
417;679.8;708.4
418;677.7;711.4
419;678.0;713.0
420;678.6;715.0
421;678.4;716.3
422;677.9;715.7
423;678.4;713.8
424;675.9;714.2
425;675.7;712.8
426;675.2;713.5
427;674.9;714.9
428;671.4;712.7
429;671.2;712.0
430;671.8;709.3
431;673.1;711.1
432;670.7;715.0
433;669.8;717.7
434;668.7;720.2
435;667.2;721.7
436;667.3;722.5
437;669.6;723.7
438;670.2;722.9
439;670.8;722.9
440;669.0;721.1
441;668.9;719.5
442;669.7;719.3
443;668.4;720.4
444;667.3;722.1
445;669.8;722.6
446;670.2;722.0
447;668.4;722.9
448;667.2;723.0
449;668.5;721.7
450;669.7;720.8
451;669.6;719.8
452;670.0;717.9
453;669.6;717.6
454;670.1;718.5
455;669.4;719.4
456;667.1;719.5
457;666.8;721.6
458;667.6;721.7
459;666.7;721.8
460;666.2;721.2
461;663.3;720.5
462;664.5;720.7
463;665.1;720.1
464;664.1;721.7
465;664.7;720.6
466;666.1;718.8
467;667.8;719.5
468;668.3;720.1
469;669.7;719.7
470;669.3;718.5
471;668.5;715.4
472;667.8;713.4
473;670.0;710.5
474;672.4;711.5
475;672.4;712.1
476;672.6;711.9
477;671.5;711.2
478;671.9;711.4
479;671.5;712.6
480;671.1;712.5
481;671.3;714.2
482;672.5;714.2
483;675.1;714.0
484;676.3;713.1
485;676.7;710.5
486;676.1;710.7
487;677.2;710.7
488;678.4;709.8
489;680.1;710.7
490;680.6;711.3
491;682.5;710.4
492;683.9;710.5
493;684.0;710.1
494;687.3;709.4
495;688.9;709.7
496;689.9;708.3
497;690.0;707.7
498;687.4;709.0
499;687.3;708.5
500;687.7;707.1
501;687.3;702.2
502;688.5;701.7
503;688.9;700.4
504;688.2;698.1
505;688.8;698.5
506;687.5;700.3
507;684.8;700.1
508;682.6;699.4
509;685.5;700.4
510;687.3;700.0
511;686.8;701.6
512;684.8;700.5
513;684.7;699.4
514;683.1;698.5
515;681.6;698.7
516;681.4;700.5
517;682.1;698.9
518;679.1;698.7
519;677.7;696.6
520;678.4;697.3
521;677.7;699.7
522;679.8;700.1
523;679.0;700.2
524;681.0;701.8
525;681.7;698.7
526;680.4;697.3
527;680.6;696.4
528;679.2;693.9
529;679.4;693.1
530;680.6;692.0
531;681.5;689.5
532;681.6;691.4
533;682.6;692.7
534;682.0;692.5
535;683.0;693.1
536;683.8;694.5
537;682.6;696.2
538;682.3;694.8
539;683.3;690.4
540;683.2;689.6
541;685.3;689.4
542;684.7;689.9
543;684.6;691.3
544;684.4;691.5
545;683.5;693.7
546;684.7;694.2
547;683.2;691.6
548;683.4;690.4
549;683.9;689.6
550;685.2;688.4
551;685.4;687.9
552;685.1;689.7
553;682.5;689.6
554;682.1;689.0
555;683.2;688.6
556;683.6;688.0
557;681.6;689.9
558;679.6;688.9
559;680.0;688.8
560;678.3;688.0
561;678.4;687.4
562;678.8;687.7
563;676.9;687.8
564;676.7;688.3
565;675.1;688.0
566;674.0;686.2
567;672.5;682.8
568;672.0;682.7
569;671.2;685.0
570;672.6;683.6
571;670.6;684.9
572;670.2;685.6
573;670.2;684.5
574;670.6;681.2
575;671.8;678.5
576;670.1;678.3
577;669.0;678.7
578;668.0;678.6
579;668.4;677.5
580;668.4;678.4
581;668.0;679.8
582;668.9;681.1
583;669.3;680.1
584;669.8;682.1
585;669.1;682.1
586;668.4;680.4
587;670.7;681.1
588;670.8;681.2
589;672.7;682.4
590;675.1;682.6
591;673.8;679.9
592;674.1;681.2
593;673.0;682.2
594;671.2;682.4
595;671.0;681.6
596;672.2;678.2
597;674.5;675.5
598;674.5;675.7
599;674.7;678.1
600;674.1;679.1
601;674.6;678.5
602;675.9;675.5
603;675.0;680.6
604;676.5;679.7
605;677.5;678.4
606;678.2;675.7
607;678.2;674.6
608;676.1;675.2
609;676.9;676.2
610;676.5;676.5
611;678.7;675.9
612;678.6;675.3
613;680.1;676.8
614;680.7;676.6
615;682.9;677.4
616;683.6;677.0
617;684.0;676.8
618;682.6;679.2
619;681.9;680.8
620;681.2;683.3
621;680.7;684.6
622;680.2;686.3
623;679.9;687.9
624;679.2;689.0
625;678.2;686.3
626;679.4;686.3
627;681.0;685.4
628;684.1;686.3
629;685.6;686.6
630;684.5;684.7
631;686.7;681.5
632;687.7;679.4
633;687.7;680.8
634;686.9;682.7
635;687.2;683.0
636;687.5;683.2
637;686.7;683.3
638;686.8;682.9
639;687.7;683.7
640;689.6;683.9
641;692.2;682.7
642;695.3;683.3
643;696.2;681.0
644;696.8;679.8
645;697.0;677.3
646;697.4;675.7
647;695.5;675.1
648;695.7;674.6
649;697.7;672.9
650;699.3;671.2
651;699.4;669.5
652;698.6;669.2
653;699.1;669.3
654;701.3;669.5
655;699.9;670.1
656;698.4;670.0
657;696.5;669.3
658;697.3;669.3
659;696.9;671.4
660;697.1;669.7
661;696.4;667.4
662;694.0;664.4
663;692.9;664.4
664;692.9;663.3
665;695.4;663.6
666;696.5;661.1
667;696.3;659.6
668;695.8;659.2
669;696.7;660.9
670;697.4;661.1
671;697.7;661.2
672;697.8;660.8
673;697.9;659.9
674;699.0;660.0
675;699.4;659.7
676;700.6;656.7
677;700.9;654.5
678;702.0;653.7
679;702.5;653.1
