frame;x;y
1;1118.0;526.0
2;1118.4;524.6
3;1116.2;526.7
4;1119.4;525.5
5;1116.0;527.1
6;1117.9;526.9
7;1121.9;527.2
8;1118.0;528.6
9;1119.8;532.0
10;1116.8;530.4
11;1113.3;526.7
12;1115.2;527.5
13;1117.3;529.2
14;1117.6;525.9
15;1115.8;525.7
16;1112.0;525.7
17;1111.3;525.8
18;1110.2;528.6
19;1110.3;526.4
20;1107.4;524.4
21;1107.3;524.6
22;1107.6;525.3
23;1104.1;523.9
24;1105.3;522.5
25;1104.7;526.6
26;1103.7;522.9
27;1098.6;521.7
28;1097.6;523.2
29;1096.3;520.8
30;1091.7;512.3
31;1091.3;516.5
32;1085.4;521.0
33;1086.7;516.5
34;1090.1;514.1
35;1087.9;514.8
36;1088.0;516.4
37;1089.5;514.4
38;1090.4;510.0
39;1089.4;507.9
40;1088.0;509.2
41;1085.3;510.1
42;1081.8;511.3
43;1082.0;511.2
44;1080.2;510.1
45;1081.6;508.7
46;1077.9;511.4
47;1076.2;514.2
48;1073.9;516.9
49;1073.3;514.9
50;1072.7;513.5
51;1073.9;512.0
52;1070.6;513.7
53;1069.4;516.2
54;1068.0;515.5
55;1070.2;516.9
56;1067.9;518.2
57;1066.5;525.3
58;1068.4;528.9
59;1068.6;531.5
60;1068.1;532.0
61;1071.1;531.3
62;1071.1;530.6
63;1064.2;528.2
64;1064.0;531.2
65;1062.0;534.4
66;1064.4;536.6
67;1062.9;537.0
68;1061.8;540.1
69;1063.1;541.3
70;1062.6;540.8
71;1058.5;542.0
72;1055.1;542.7
73;1055.0;540.5
74;1058.0;541.4
75;1059.0;545.4
76;1059.9;544.7
77;1062.8;544.7
78;1065.2;543.5
79;1065.2;549.9
80;1069.3;551.6
81;1068.9;552.4
82;1067.4;552.6
83;1067.5;550.9
84;1068.0;546.1
85;1073.1;547.4
86;1077.5;547.3
87;1078.9;547.5
88;1081.0;550.0
89;1078.1;549.9
90;1076.4;553.3
91;1077.3;556.0
92;1077.9;557.7
93;1081.0;558.3
94;1086.4;561.4
95;1084.2;564.0
96;1085.4;563.3
97;1088.2;561.5
98;1086.6;560.8
99;1091.3;560.2
100;1090.3;560.5
101;1088.1;559.5
102;1087.9;554.9
103;1090.9;558.7
104;1087.8;560.7
105;1092.2;560.2
106;1086.3;564.5
107;1085.8;564.7
108;1086.6;570.2
109;1090.3;572.3
110;1095.7;572.6
111;1099.0;573.4
112;1104.1;569.4
113;1106.5;571.8
114;1105.5;572.0
115;1107.5;573.6
116;1109.2;579.1
117;1109.3;578.1
118;1108.9;580.4
119;1108.9;579.3
120;1107.2;575.1
121;1107.9;574.1
122;1102.1;577.8
123;1103.1;578.4
124;1101.3;578.8
125;1099.0;579.0
126;1097.5;580.5
127;1097.3;585.1
128;1098.3;587.2
129;1102.3;584.8
130;1097.8;584.7
131;1096.7;584.0
132;1100.6;584.4
133;1103.9;588.7
134;1103.0;588.6
135;1101.3;588.7
136;1099.9;590.6
137;1097.2;593.4
138;1099.3;594.2
139;1099.9;596.0
140;1097.2;595.0
141;1096.0;596.3
142;1100.0;595.5
143;1100.8;591.0
144;1103.9;592.2
145;1103.2;594.7
146;1105.9;597.1
147;1107.2;600.1
148;1106.6;599.0
149;1107.7;601.3
150;1105.5;601.4
151;1103.8;601.9
152;1099.9;604.0
153;1102.0;601.3
154;1102.9;596.8
155;1103.7;596.1
156;1101.4;595.3
157;1102.3;596.3
158;1101.0;590.5
159;1101.5;588.9
160;1102.9;588.6
161;1107.0;590.7
162;1106.5;591.6
163;1105.7;589.9
164;1103.4;587.6
165;1102.0;582.6
166;1100.4;582.6
167;1099.0;586.1
168;1099.5;585.4
169;1099.4;584.0
170;1099.0;578.4
171;1098.3;574.8
172;1103.8;574.8
173;1108.9;572.0
174;1111.6;567.7
175;1107.5;565.6
176;1102.8;568.2
177;1102.3;568.5
178;1098.3;571.9
179;1096.0;568.1
180;1097.0;561.5
181;1096.5;562.6
182;1097.0;559.4
183;1097.0;558.1
184;1095.9;557.0
185;1095.2;559.2
186;1104.4;559.0
187;1104.3;561.6
188;1108.0;558.2
189;1113.2;554.8
190;1109.0;552.8
191;1111.4;554.5
192;1111.5;552.9
193;1110.7;552.8
194;1111.9;549.3
195;1114.0;548.2
196;1120.0;544.2
197;1123.0;544.4
198;1122.6;538.8
199;1128.0;534.2
200;1131.9;534.6
201;1129.4;535.4
202;1122.3;538.8
203;1120.7;539.4
204;1120.4;536.8
205;1120.1;539.4
206;1116.8;542.2
207;1115.8;542.9
208;1116.0;540.2
209;1114.2;545.6
210;1112.9;549.3
211;1114.2;548.0
212;1112.9;547.2
