frame;x;y
1;802.0;842.0
2;799.2;840.9
3;797.6;841.4
4;797.0;839.4
5;796.5;841.3
6;796.4;840.7
7;796.5;838.6
8;797.3;837.9
9;799.7;838.7
10;799.7;838.5
11;798.5;838.7
12;797.5;839.9
13;796.5;839.0
14;797.2;837.4
15;794.9;837.2
16;793.0;835.6
17;795.9;833.8
18;797.7;833.0
19;798.2;832.6
20;797.4;832.2
21;798.3;830.7
22;797.3;830.2
23;795.8;829.9
24;796.3;827.6
25;793.6;826.3
26;792.4;825.2
27;795.1;824.4
28;794.8;823.8
29;796.3;825.1
30;797.1;826.4
31;797.4;827.3
32;796.9;827.1
33;796.0;828.8
34;797.1;830.1
35;796.4;830.5
36;797.1;829.0
37;798.0;828.8
38;797.2;833.6
39;797.3;833.1
40;798.5;831.5
41;797.5;830.3
42;797.0;828.8
43;797.8;829.3
44;796.1;832.9
45;795.9;832.8
46;794.8;830.5
47;791.6;830.9
48;791.5;832.5
49;788.5;832.6
50;790.8;831.4
51;791.6;833.3
52;790.4;833.8
53;790.7;833.8
54;791.5;832.7
55;790.4;834.2
56;790.4;833.3
57;792.2;831.3
58;790.3;831.4
59;792.4;832.3
60;791.5;832.7
61;790.5;833.3
62;790.2;833.7
63;793.9;833.3
64;795.3;831.7
65;795.2;833.0
66;796.5;834.2
67;797.7;834.6
68;799.1;834.1
69;800.1;835.5
70;800.3;837.5
71;800.7;840.5
72;802.3;844.9
73;803.3;848.3
74;802.6;847.2
75;802.9;847.7
76;802.9;848.1
77;801.9;846.7
78;801.2;845.6
79;800.5;844.3
80;801.0;844.2
81;802.4;841.7
82;800.4;844.0
83;798.6;843.9
84;796.2;845.1
85;793.9;843.9
86;792.7;844.0
87;793.6;844.8
88;793.1;845.9
89;790.5;844.6
90;791.0;842.7
91;790.5;843.6
92;789.8;842.8
93;789.6;841.2
94;789.2;841.3
95;787.7;842.3
96;787.3;841.4
97;788.4;842.4
98;788.7;844.7
99;787.7;844.9
100;786.3;843.7
101;785.2;843.1
102;785.5;841.8
103;785.3;841.4
