frame;x;y
1;542.0;528.0
2;543.1;528.4
3;544.2;530.4
4;541.1;530.4
5;540.5;530.5
6;540.2;529.7
7;541.8;531.4
8;540.2;531.3
9;538.9;528.8
10;537.5;527.2
11;536.7;526.0
12;536.7;525.6
13;537.5;525.8
14;539.2;525.6
15;539.6;525.9
16;542.0;525.8
17;541.8;527.0
18;541.3;525.9
19;543.9;524.5
20;544.5;523.9
21;546.6;524.0
22;547.8;524.6
23;546.2;526.8
24;545.7;526.6
25;546.8;525.6
26;546.6;526.2
27;546.5;525.5
28;540.5;529.5
29;541.8;529.6
30;541.3;529.7
31;541.5;528.6
32;538.3;526.3
33;537.5;525.8
34;536.8;525.8
35;536.7;527.1
36;537.9;525.7
37;541.1;524.7
38;542.8;524.4
39;541.7;524.8
40;544.5;522.4
41;546.7;521.0
42;548.4;521.9
43;549.9;522.5
44;548.9;521.0
45;551.7;518.0
46;553.0;518.3
47;551.7;515.3
48;553.1;513.0
49;550.2;510.4
50;545.0;510.6
51;545.3;511.2
52;545.9;509.4
53;544.5;510.0
54;545.0;511.2
55;544.9;513.2
56;544.7;515.0
57;543.3;516.5
58;542.9;517.4
59;541.6;518.7
60;542.7;520.9
61;543.3;523.9
62;543.9;524.3
63;544.4;523.6
64;546.2;521.6
65;541.0;524.5
66;540.6;522.0
67;537.9;519.9
68;534.0;522.0
69;532.9;518.7
70;534.0;518.8
71;535.9;520.0
72;539.6;518.8
73;540.4;516.0
74;541.9;512.5
75;541.1;511.1
76;541.7;510.7
77;540.1;508.8
78;538.2;506.4
79;537.0;507.0
80;537.4;503.5
81;536.9;499.6
82;536.4;500.2
83;536.0;500.3
84;533.8;499.2
85;532.1;499.3
86;533.7;500.1
87;538.2;498.5
88;539.0;499.4
89;537.7;501.5
90;536.7;501.6
91;534.1;503.1
92;535.4;502.6
93;534.5;501.0
94;534.5;499.4
95;533.1;500.3
96;531.0;499.5
97;528.5;497.0
98;529.0;497.6
99;530.7;497.7
100;531.0;496.5
101;527.7;495.1
102;525.0;494.1
103;524.2;495.7
104;523.0;495.3
105;522.3;493.7
106;521.3;494.3
107;522.6;493.8
108;523.9;496.3
109;524.3;496.9
110;522.8;496.5
111;524.7;493.6
112;526.3;494.3
113;529.3;496.4
114;531.6;497.1
115;534.5;496.5
116;535.8;495.3
117;536.3;495.1
118;534.3;494.7
119;534.6;494.3
120;534.1;494.2
121;534.3;492.2
122;534.0;489.3
123;533.3;486.4
124;532.8;487.4
125;533.8;489.9
126;533.5;489.5
127;535.8;491.1
128;536.2;490.3
129;535.1;490.1
130;533.1;492.5
131;532.0;492.1
132;530.1;491.2
133;526.4;492.8
134;522.6;494.8
135;522.8;494.3
136;524.4;494.6
137;525.8;494.3
138;525.4;493.4
139;526.9;494.5
140;528.6;494.3
141;529.8;492.1
142;528.7;491.2
143;528.1;489.2
144;527.1;489.8
145;525.9;492.5
146;523.7;492.8
147;523.6;493.1
148;523.7;495.4
149;525.0;495.8
150;522.3;494.2
151;517.6;491.1
152;514.8;490.3
153;512.8;491.2
154;512.4;494.7
155;512.5;494.6
156;512.4;494.7
157;510.5;495.3
158;507.5;495.5
159;505.3;497.2
160;505.1;500.1
161;507.0;502.9
162;504.4;503.5
163;505.3;501.7
