frame;x;y
1;694.0;312.0
2;694.3;312.9
3;691.6;311.2
4;690.3;310.2
5;689.8;310.1
6;688.8;312.4
7;689.1;313.9
8;687.4;313.9
9;688.2;314.5
10;689.7;314.4
11;688.4;314.0
12;688.8;315.7
13;688.5;314.9
14;687.9;314.4
15;688.0;315.4
16;685.6;316.3
17;684.7;318.4
18;685.8;319.8
19;685.8;318.4
20;685.9;318.3
21;687.9;318.7
22;688.6;319.5
23;687.8;320.2
24;688.2;319.7
25;686.9;318.7
26;684.8;320.5
27;685.2;320.5
28;685.7;319.6
29;685.9;319.9
30;685.6;321.0
31;685.5;320.1
32;685.4;319.4
33;686.6;318.5
34;687.3;318.7
35;687.9;319.3
36;687.8;320.7
37;689.9;319.9
38;688.9;319.5
39;688.8;321.3
40;688.6;320.2
41;689.7;319.5
42;688.3;318.7
43;686.2;318.4
44;686.4;318.1
45;686.7;315.7
46;686.3;314.5
47;686.7;318.0
48;685.2;318.0
49;688.6;318.5
50;690.6;320.7
51;690.2;322.7
52;689.9;322.8
53;692.2;323.3
54;692.3;324.8
55;693.7;326.0
56;692.3;325.9
57;690.3;327.0
58;691.0;326.9
59;691.4;328.8
60;691.6;330.1
61;691.5;328.4
62;691.8;328.9
63;691.3;328.3
64;690.3;329.2
65;691.7;331.4
66;691.6;331.2
67;690.9;328.2
68;691.4;325.1
69;689.6;324.7
70;687.2;322.9
71;685.5;324.8
72;685.1;325.6
73;682.7;324.9
74;680.2;329.1
75;679.0;329.8
76;679.4;327.3
77;678.3;325.9
78;676.9;323.7
79;675.8;322.5
80;674.6;323.1
81;674.1;323.0
82;673.0;320.1
83;675.1;319.8
84;677.7;317.4
85;678.1;316.6
86;676.4;316.5
87;675.1;315.3
88;674.1;316.1
89;675.0;316.8
90;676.6;317.1
91;678.6;316.8
92;680.4;316.3
93;680.8;314.1
94;679.9;313.4
95;680.4;312.1
96;681.0;312.0
97;680.1;315.4
98;681.8;314.8
99;679.4;314.3
100;680.1;313.5
101;679.8;314.8
102;681.1;315.2
103;681.6;313.9
104;683.6;315.9
105;683.9;318.8
106;682.8;322.6
107;682.1;322.9
108;683.0;321.7
109;684.9;322.1
110;686.0;320.4
111;687.3;319.7
112;685.6;319.6
113;685.3;317.6
114;685.5;317.6
115;687.7;315.1
116;690.7;312.7
117;689.0;313.4
118;687.7;312.0
119;687.9;311.9
120;684.7;312.6
121;683.9;311.3
122;684.8;310.5
123;684.0;308.3
124;684.3;308.6
125;683.9;308.2
126;685.4;305.9
127;687.5;307.3
