frame;x;y
1;722.0;818.0
2;722.6;818.6
3;722.5;817.6
4;722.2;815.9
5;721.3;816.6
6;719.5;816.5
7;720.4;815.1
8;720.4;814.1
9;722.2;812.7
10;723.7;812.0
11;722.9;811.7
12;722.4;813.8
13;721.5;815.3
14;721.4;819.4
15;722.2;819.0
16;723.1;819.2
17;722.9;818.7
18;721.1;820.2
19;720.4;820.0
20;720.4;817.3
21;721.9;817.8
22;723.2;816.2
23;721.9;815.9
24;721.4;816.3
25;723.1;817.5
26;724.8;817.0
27;723.7;815.2
28;722.2;815.0
29;721.4;814.3
30;719.1;815.2
31;718.0;814.6
32;715.9;812.8
33;714.4;816.2
34;714.7;815.2
35;716.1;817.0
36;717.1;819.8
37;716.1;819.1
38;715.8;818.0
39;713.2;819.1
40;712.4;819.1
41;711.6;817.3
42;710.5;816.9
43;711.7;816.6
44;713.0;814.1
45;712.0;814.5
46;712.6;815.6
47;712.7;814.7
48;712.7;815.1
49;712.2;812.7
50;709.5;812.7
51;709.0;812.8
52;708.0;812.5
53;708.7;811.1
54;710.6;808.9
55;710.4;806.8
56;711.0;806.1
57;710.4;803.4
58;712.6;803.5
59;713.2;803.3
60;713.6;803.2
61;712.0;802.9
62;711.2;802.2
63;711.7;800.8
64;712.4;800.5
65;712.9;801.9
66;716.5;799.8
67;716.8;798.2
68;716.4;800.7
69;718.1;800.0
70;718.0;799.4
71;716.8;799.2
72;714.4;799.1
73;713.6;801.3
74;714.2;802.9
75;715.0;805.5
76;714.5;803.6
77;714.8;800.2
78;714.1;797.5
79;715.0;796.5
80;715.6;794.2
81;714.9;794.4
82;714.5;794.4
83;714.2;795.1
84;712.4;793.8
85;712.6;790.3
86;713.6;788.3
87;712.6;788.5
88;712.8;789.1
89;713.0;786.9
90;712.9;787.0
91;713.7;786.7
92;715.7;785.5
93;715.9;782.4
94;716.9;783.8
95;714.5;785.0
96;714.6;786.0
97;717.0;786.6
98;717.6;785.4
99;716.4;785.1
100;715.4;783.2
101;715.7;783.7
102;714.1;782.1
103;713.4;781.4
104;715.7;781.2
105;715.1;781.0
